No.,Unit weight (KN/m3),Cohesion (Kpa),Internal friction angle (°),Slope angle (°),Slope height (m),Pore water ratio,Slope State,Source
143,27.3,14,31,41,110,0.25,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
144,27.3,31.5,29.7,41,135,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
145,27.3,16.8,28,50,90.5,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
146,27.3,26,31,50,92,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
147,27.3,10,39,41,511,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
148,27.3,10,39,40,470,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
149,25,46,35,47,443,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
150,25,46,35,44,435,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
151,25,46,35,46,432,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
152,27,32,33,42.4,289,0.25,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
153,26,150,45,30,200,0.31,S,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
154,18.5,25,0,30,6,0.31,F,"Su, G., Song, Y., Yan, L., 2009. Application of Gaussian process machine learning to slope stability evaluation. Rock and Soil Mechanics 30, 675–687."
